uc011iod.2	ENST00000400285
uc011ioc.2	ENST00000400285
uc011ioe.2	ENST00000400272
uc011iof.2	ENST00000383499
uc011iog.2	ENST00000481446
uc011ioh.2	ENST00000481446
uc011ioi.2	ENST00000481446
uc011ioj.2	ENST00000481446
uc011iok.3	ENST00000383496
uc011iol.2	ENST00000383496
uc021zud.1	ENST00000443340
uc011ioz.2	ENST00000448441
uc011ioq.2	ENST00000448441
uc011ior.2	ENST00000448441
uc011ios.2	ENST00000383484
uc011iot.2	ENST00000400253
uc011ioy.2	ENST00000400250
uc021zue.1	ENST00000400265
uc011iou.2	ENST00000383482
uc011iov.2	ENST00000383486
uc011iox.2	ENST00000400250
uc011iow.2	ENST00000383480
uc011ipa.2	ENST00000383486
uc011ipe.2	ENST00000470803
uc031svf.1	ENST00000383474
uc011ipf.2	ENST00000383474
uc011ipg.2	ENST00000383473
uc011iph.1	ENST00000551341
uc011ipi.2	ENST00000551341
uc011ipj.2	ENST00000383455
uc011ipk.2	ENST00000581839
uc031svg.1	ENST00000400157
uc011ips.3	ENST00000400157
uc011ipt.2	ENST00000383438
uc011ipz.1	ENST00000383433
uc011iqa.2	ENST00000486289
uc021zug.1	ENST00000486289
uc011iqb.1	ENST00000383433
uc031svh.1	ENST00000383427
uc031svi.1	ENST00000383427
uc031svj.1	ENST00000383431
uc031svk.1	ENST00000383431
uc031svl.1	ENST00000383431
uc031svm.1	ENST00000383431
uc011iqd.1	ENST00000462244
